"";"Users";"Status";"TotalWordCount"
"1";"Tarquin";"User";135
"2353";"Page";"Page";0
"2";"Mac";"User";5
"3";"Olivier";"Admin";2
"4";"Kku";"User";14
"5";"Karada";"User";1
"6";"Morwen";"Admin";2
"7";"Nikai";"User";1
"8";"Bryan Derksen";"User";1
"9";"Ta bu shi da yu";"User";3
"10";"Varitek";"User";2
"11";"Nickshanks";"User";3
"12";"205.213.111.50";"Anon";0
"13";"81.241.222.188";"Anon";1
"14";"Evercat";"Admin";0
"15";"Mudshark";"User";30
"16";"Norm";"User";115
"17";"Lexie67";"User";3
"18";"Theresa knott";"User";0
"19";"68.254.162.48";"Anon";1
"20";"82.159.136.1";"Anon";4
"21";"SimonP";"Admin";0
"22";"206.223.200.130";"Anon";0
"23";"NeonGeniuses";"User";164
"24";"69.108.87.160";"Anon";8
"25";"203.36.44.15";"Anon";0
"26";"203.36.44.16";"Anon";0
"27";"Brian0918";"User";2
"28";"170.177.41.11";"Anon";5
"29";"Kbdank71";"Admin";0
"30";"Csnewton";"User";13
"31";"FlaBot";"User";1
"32";"209.175.13.45";"Anon";9
"33";"Xezbeth";"Admin";0
"34";"66.30.40.193";"Anon";1
"35";"Bighead";"User";0
"36";"NickF";"User";1
"37";"Salsb";"User";0
"38";"Seabhcan";"User";13
"39";"203.63.234.130";"Anon";5
"40";"Func";"User";0
"41";"Wavelength";"User";36
"42";"211.26.27.70";"Anon";1
"43";"Zwobot";"User";3
"44";"Repayne";"User";3
"45";"Giftlite";"User";24
"46";"150.101.171.230";"Anon";0
"47";"68.19.117.254";"Anon";10
"48";"202.156.6.61";"Anon";24
"49";"208.59.168.237";"Anon";15
"50";"66.82.9.49";"Anon";1
"51";"24.173.144.11";"Anon";0
"52";"Wayward";"User";0
"53";"Tbone";"User";1
"54";"Saperaud~enwiki";"User";2
"55";"208.62.221.62";"Anon";1
"56";"85.57.162.113";"Anon";4
"57";"208.59.175.65";"Anon";6
"58";"69.81.72.236";"Anon";0
"59";"194.52.74.9";"Anon";1
"60";"Dan100";"User";0
"61";"83.25.81.130";"Anon";5
"62";"165.155.128.134";"Anon";14
"63";"203.199.202.97";"Anon";3
"64";"71.141.2.90";"Anon";1
"65";"168.184.221.251";"Anon";7
"66";"Bhadani";"User";0
