"";"ActiveUser";"TargetAuthor";"InteractionType";"InteractionCount";"WordCount"
"1";"Tarquin";"Page";"ADDED";2;135
"2";"Mac";"Page";"ADDED";1;5
"4";"Olivier";"Page";"ADDED";1;2
"5";"Olivier";"Mac";"DELETED";1;1
"6";"Kku";"Page";"ADDED";2;14
"7";"Kku";"Mac";"DELETED";1;1
"8";"Karada";"Page";"ADDED";1;1
"9";"Morwen";"Page";"ADDED";1;2
"10";"Nikai";"Page";"ADDED";1;1
"11";"Nikai";"Olivier";"DELETED";1;1
"12";"Nikai";"Kku";"DELETED";1;1
"13";"Bryan Derksen";"Page";"ADDED";1;1
"14";"Ta bu shi da yu";"Page";"ADDED";1;3
"15";"Varitek";"Page";"ADDED";1;2
"16";"Nickshanks";"Page";"ADDED";1;3
"17";"Nickshanks";"Nikai";"DELETED";1;1
"18";"205.213.111.50";"Tarquin";"DELETED";1;36
"19";"81.241.222.188";"Page";"ADDED";1;1
"20";"Evercat";"Nickshanks";"DELETED";1;1
"21";"Mudshark";"Page";"ADDED";1;30
"22";"Mudshark";"Tarquin";"DELETED";1;1
"23";"Norm";"Page";"ADDED";1;115
"24";"Norm";"Karada";"DELETED";1;1
"25";"Norm";"Ta bu shi da yu";"DELETED";1;3
"26";"Norm";"Morwen";"DELETED";1;2
"27";"Norm";"Varitek";"DELETED";1;2
"28";"Norm";"Mac";"DELETED";1;3
"29";"Lexie67";"Page";"ADDED";1;3
"30";"Lexie67";"Mudshark";"DELETED";1;1
"31";"Lexie67";"Tarquin";"DELETED";1;1
"32";"Theresa knott";"Lexie67";"DELETED";1;3
"33";"Theresa knott";"Tarquin";"RESTORED";1;1
"34";"Theresa knott";"Mudshark";"RESTORED";1;1
"35";"68.254.162.48";"Page";"ADDED";1;1
"36";"68.254.162.48";"Norm";"DELETED";1;1
"37";"82.159.136.1";"Page";"ADDED";1;4
"38";"SimonP";"82.159.136.1";"DELETED";1;2
"39";"206.223.200.130";"68.254.162.48";"DELETED";1;1
"40";"206.223.200.130";"Norm";"DELETED";1;2
"41";"NeonGeniuses";"Page";"ADDED";1;164
"42";"NeonGeniuses";"Norm";"DELETED";1;2
"43";"69.108.87.160";"Page";"ADDED";1;8
"44";"69.108.87.160";"NeonGeniuses";"DELETED";1;142
"45";"69.108.87.160";"Norm";"DELETED";1;49
"46";"NeonGeniuses";"69.108.87.160";"DELETED";1;7
"47";"NeonGeniuses";"NeonGeniuses";"RESTORED";1;141
"48";"NeonGeniuses";"Norm";"RESTORED";1;49
"49";"203.36.44.15";"Mudshark";"DELETED";2;30
"50";"203.36.44.15";"82.159.136.1";"DELETED";1;2
"51";"203.36.44.15";"Olivier";"DELETED";1;1
"52";"203.36.44.15";"Bryan Derksen";"DELETED";1;1
"53";"203.36.44.15";"Tarquin";"DELETED";2;98
"55";"203.36.44.15";"NeonGeniuses";"DELETED";2;164
"57";"203.36.44.15";"Nickshanks";"DELETED";1;2
"58";"203.36.44.15";"Norm";"DELETED";2;110
"61";"203.36.44.15";"81.241.222.188";"DELETED";1;1
"62";"203.36.44.16";"Tarquin";"RESTORED";2;98
"63";"203.36.44.16";"82.159.136.1";"RESTORED";1;2
"64";"203.36.44.16";"Norm";"RESTORED";2;110
"66";"203.36.44.16";"Mudshark";"RESTORED";2;30
"68";"203.36.44.16";"NeonGeniuses";"RESTORED";1;164
"70";"203.36.44.16";"Olivier";"RESTORED";1;1
"71";"203.36.44.16";"81.241.222.188";"RESTORED";1;1
"72";"203.36.44.16";"Nickshanks";"RESTORED";1;2
"73";"203.36.44.16";"Bryan Derksen";"RESTORED";1;1
"74";"Brian0918";"Page";"ADDED";1;2
"75";"170.177.41.11";"Page";"ADDED";1;5
"76";"170.177.41.11";"Nickshanks";"DELETED";1;2
"77";"170.177.41.11";"Olivier";"DELETED";1;1
"78";"170.177.41.11";"81.241.222.188";"DELETED";1;1
"79";"170.177.41.11";"NeonGeniuses";"DELETED";1;163
"80";"170.177.41.11";"Norm";"DELETED";1;100
"81";"170.177.41.11";"Bryan Derksen";"DELETED";1;1
"82";"170.177.41.11";"Tarquin";"DELETED";1;98
"83";"170.177.41.11";"Brian0918";"DELETED";1;2
"84";"170.177.41.11";"82.159.136.1";"DELETED";1;2
"85";"170.177.41.11";"Mudshark";"DELETED";1;30
"86";"Kbdank71";"170.177.41.11";"DELETED";1;5
"87";"Kbdank71";"Mudshark";"RESTORED";1;30
"88";"Kbdank71";"Brian0918";"RESTORED";1;2
"89";"Kbdank71";"Bryan Derksen";"RESTORED";1;1
"90";"Kbdank71";"82.159.136.1";"RESTORED";1;2
"91";"Kbdank71";"NeonGeniuses";"RESTORED";1;163
"92";"Kbdank71";"Nickshanks";"RESTORED";1;2
"93";"Kbdank71";"Olivier";"RESTORED";1;1
"94";"Kbdank71";"Norm";"RESTORED";1;100
"95";"Kbdank71";"81.241.222.188";"RESTORED";1;1
"96";"Kbdank71";"Tarquin";"RESTORED";1;98
"97";"Csnewton";"Page";"ADDED";1;13
"98";"FlaBot";"Page";"ADDED";1;1
"99";"209.175.13.45";"Page";"ADDED";1;9
"100";"209.175.13.45";"82.159.136.1";"DELETED";1;1
"101";"209.175.13.45";"Tarquin";"DELETED";1;3
"102";"209.175.13.45";"Mudshark";"DELETED";1;4
"103";"Xezbeth";"209.175.13.45";"DELETED";1;9
"104";"Xezbeth";"Tarquin";"RESTORED";1;3
"105";"Xezbeth";"Mudshark";"RESTORED";2;4
"106";"Xezbeth";"82.159.136.1";"RESTORED";1;1
"108";"66.30.40.193";"Page";"ADDED";1;1
"109";"66.30.40.193";"82.159.136.1";"DELETED";2;2
"110";"66.30.40.193";"Norm";"DELETED";1;10
"111";"66.30.40.193";"Mudshark";"DELETED";4;30
"112";"66.30.40.193";"Tarquin";"DELETED";2;55
"118";"Bighead";"66.30.40.193";"DELETED";1;1
"119";"Bighead";"Tarquin";"RESTORED";2;55
"120";"Bighead";"82.159.136.1";"RESTORED";2;2
"121";"Bighead";"Mudshark";"RESTORED";2;30
"125";"Bighead";"Norm";"RESTORED";1;10
"126";"NickF";"Page";"ADDED";1;1
"127";"NickF";"Norm";"DELETED";1;1
"128";"Salsb";"Bryan Derksen";"DELETED";1;1
"129";"Seabhcan";"Page";"ADDED";1;13
"130";"203.63.234.130";"Page";"ADDED";1;5
"131";"203.63.234.130";"NeonGeniuses";"DELETED";1;1
"132";"Func";"203.63.234.130";"DELETED";1;5
"133";"Func";"NeonGeniuses";"RESTORED";1;1
"134";"Wavelength";"Page";"ADDED";7;36
"135";"Wavelength";"Seabhcan";"DELETED";1;1
"136";"211.26.27.70";"Page";"ADDED";1;1
"137";"Zwobot";"Page";"ADDED";1;3
"138";"Zwobot";"FlaBot";"DELETED";1;1
"139";"Repayne";"Page";"ADDED";1;3
"140";"Giftlite";"Page";"ADDED";2;24
"141";"150.101.171.230";"211.26.27.70";"DELETED";1;1
"142";"68.19.117.254";"Page";"ADDED";1;10
"143";"202.156.6.61";"Page";"ADDED";1;24
"144";"202.156.6.61";"68.19.117.254";"DELETED";1;2
"145";"208.59.168.237";"Page";"ADDED";2;15
"146";"208.59.168.237";"Norm";"DELETED";2;4
"147";"208.59.168.237";"Tarquin";"DELETED";2;7
"148";"66.82.9.49";"Page";"ADDED";1;1
"149";"66.82.9.49";"208.59.168.237";"DELETED";1;1
"150";"24.173.144.11";"208.59.168.237";"DELETED";1;4
"151";"24.173.144.11";"Tarquin";"DELETED";1;2
"153";"208.59.168.237";"66.82.9.49";"DELETED";1;1
"156";"Wayward";"208.59.168.237";"DELETED";1;9
"157";"Wayward";"Tarquin";"RESTORED";1;5
"158";"Wayward";"Norm";"RESTORED";1;3
"159";"Wayward";"66.82.9.49";"RESTORED";1;1
"160";"Tbone";"Page";"ADDED";1;1
"161";"Saperaud~enwiki";"Page";"ADDED";1;2
"162";"208.62.221.62";"Page";"ADDED";1;1
"163";"208.62.221.62";"Tarquin";"DELETED";1;1
"164";"85.57.162.113";"Page";"ADDED";1;4
"165";"85.57.162.113";"NeonGeniuses";"DELETED";1;2
"166";"208.59.175.65";"Page";"ADDED";1;6
"167";"208.59.175.65";"Norm";"DELETED";2;7
"168";"208.59.175.65";"66.82.9.49";"DELETED";1;1
"170";"69.81.72.236";"208.59.175.65";"DELETED";1;6
"171";"69.81.72.236";"Norm";"DELETED";1;39
"172";"194.52.74.9";"Page";"ADDED";1;1
"173";"Dan100";"194.52.74.9";"DELETED";1;1
"174";"83.25.81.130";"Page";"ADDED";1;5
"175";"83.25.81.130";"Csnewton";"DELETED";1;1
"176";"165.155.128.134";"Page";"ADDED";1;14
"177";"165.155.128.134";"NeonGeniuses";"DELETED";2;4
"178";"165.155.128.134";"Mudshark";"DELETED";1;4
"180";"203.199.202.97";"Page";"ADDED";1;3
"181";"203.199.202.97";"165.155.128.134";"DELETED";1;3
"182";"71.141.2.90";"Page";"ADDED";1;1
"183";"71.141.2.90";"165.155.128.134";"DELETED";1;2
"184";"168.184.221.251";"Page";"ADDED";1;7
"185";"168.184.221.251";"Zwobot";"DELETED";1;3
"186";"168.184.221.251";"Brian0918";"DELETED";1;2
"187";"168.184.221.251";"Tarquin";"DELETED";3;93
"188";"168.184.221.251";"Norm";"DELETED";2;62
"189";"168.184.221.251";"Nickshanks";"DELETED";1;2
"190";"168.184.221.251";"Saperaud~enwiki";"DELETED";1;2
"191";"168.184.221.251";"Wavelength";"DELETED";1;1
"192";"168.184.221.251";"68.19.117.254";"DELETED";1;8
"193";"168.184.221.251";"Csnewton";"DELETED";1;12
"194";"168.184.221.251";"208.59.168.237";"DELETED";1;1
"195";"168.184.221.251";"82.159.136.1";"DELETED";1;2
"196";"168.184.221.251";"202.156.6.61";"DELETED";1;24
"197";"168.184.221.251";"Repayne";"DELETED";1;3
"199";"168.184.221.251";"85.57.162.113";"DELETED";1;4
"200";"168.184.221.251";"81.241.222.188";"DELETED";1;1
"201";"168.184.221.251";"NickF";"DELETED";1;1
"202";"168.184.221.251";"Olivier";"DELETED";1;1
"203";"168.184.221.251";"NeonGeniuses";"DELETED";2;158
"204";"168.184.221.251";"Tbone";"DELETED";1;1
"205";"168.184.221.251";"83.25.81.130";"DELETED";1;5
"206";"168.184.221.251";"203.199.202.97";"DELETED";1;3
"207";"168.184.221.251";"Seabhcan";"DELETED";1;12
"208";"168.184.221.251";"Giftlite";"DELETED";1;16
"210";"168.184.221.251";"208.62.221.62";"DELETED";1;1
"211";"168.184.221.251";"71.141.2.90";"DELETED";1;1
"212";"168.184.221.251";"Mudshark";"DELETED";1;26
"214";"168.184.221.251";"165.155.128.134";"DELETED";1;9
"216";"Bhadani";"168.184.221.251";"DELETED";1;7
"217";"Bhadani";"NickF";"RESTORED";1;1
"218";"Bhadani";"Seabhcan";"RESTORED";1;12
"219";"Bhadani";"Tarquin";"RESTORED";3;93
"220";"Bhadani";"Brian0918";"RESTORED";1;2
"221";"Bhadani";"208.62.221.62";"RESTORED";1;1
"222";"Bhadani";"203.199.202.97";"RESTORED";1;3
"223";"Bhadani";"Olivier";"RESTORED";1;1
"224";"Bhadani";"NeonGeniuses";"RESTORED";2;158
"225";"Bhadani";"85.57.162.113";"RESTORED";1;4
"226";"Bhadani";"Norm";"RESTORED";2;62
"227";"Bhadani";"Csnewton";"RESTORED";1;12
"228";"Bhadani";"165.155.128.134";"RESTORED";1;9
"230";"Bhadani";"82.159.136.1";"RESTORED";1;2
"231";"Bhadani";"Repayne";"RESTORED";1;3
"232";"Bhadani";"202.156.6.61";"RESTORED";1;24
"233";"Bhadani";"81.241.222.188";"RESTORED";1;1
"234";"Bhadani";"71.141.2.90";"RESTORED";1;1
"235";"Bhadani";"Zwobot";"RESTORED";1;3
"236";"Bhadani";"83.25.81.130";"RESTORED";1;5
"238";"Bhadani";"Wavelength";"RESTORED";1;1
"240";"Bhadani";"Nickshanks";"RESTORED";1;2
"241";"Bhadani";"Tbone";"RESTORED";1;1
"242";"Bhadani";"Giftlite";"RESTORED";1;16
"243";"Bhadani";"208.59.168.237";"RESTORED";1;1
"245";"Bhadani";"Mudshark";"RESTORED";1;26
"246";"Bhadani";"68.19.117.254";"RESTORED";1;8
"247";"Bhadani";"Saperaud~enwiki";"RESTORED";1;2
"248";"70.48.31.218";"165.155.128.134";"DELETED";1;3
"249";"Znixon";"Page";"ADDED";2;357
"250";"Znixon";"208.59.168.237";"DELETED";1;1
"251";"Znixon";"208.62.221.62";"DELETED";1;1
"252";"Znixon";"202.156.6.61";"DELETED";1;24
"253";"Znixon";"Tarquin";"DELETED";2;14
"254";"Znixon";"Mudshark";"DELETED";1;14
"255";"Znixon";"68.19.117.254";"DELETED";1;8
"256";"142.59.93.16";"Page";"ADDED";1;11
"257";"142.59.93.16";"Repayne";"DELETED";1;1
"258";"Adashiel";"142.59.93.16";"DELETED";1;11
"259";"Adashiel";"Repayne";"RESTORED";1;1
"260";"CharlesDexterWard";"Page";"ADDED";1;5
"261";"CharlesDexterWard";"NeonGeniuses";"DELETED";1;2
"264";"65.92.55.124";"Page";"ADDED";1;19
"265";"Peter";"65.92.55.124";"DELETED";1;19
"266";"70.27.68.31";"Page";"ADDED";1;2
"267";"70.27.68.31";"Znixon";"DELETED";1;1
"268";"Bluemoose";"Znixon";"DELETED";1;1
"269";"72.228.111.48";"Page";"ADDED";1;1
"270";"72.228.111.48";"70.27.68.31";"DELETED";1;1
"271";"64.69.117.65";"Page";"ADDED";1;20
"272";"Viriditas";"72.228.111.48";"DELETED";1;1
"273";"Viriditas";"70.27.68.31";"DELETED";1;1
"274";"Viriditas";"64.69.117.65";"DELETED";1;20
"275";"Viriditas";"Znixon";"RESTORED";2;2
"277";"199.216.41.251";"Page";"ADDED";2;6
"278";"199.216.41.251";"203.199.202.97";"DELETED";1;3
"279";"199.216.41.251";"81.241.222.188";"DELETED";1;1
"280";"199.216.41.251";"Repayne";"DELETED";2;3
"281";"199.216.41.251";"Wavelength";"DELETED";1;1
"282";"199.216.41.251";"NeonGeniuses";"DELETED";1;156
"283";"199.216.41.251";"Tarquin";"DELETED";1;78
"284";"199.216.41.251";"Zwobot";"DELETED";1;3
"285";"199.216.41.251";"Tbone";"DELETED";1;1
"286";"199.216.41.251";"Csnewton";"DELETED";1;12
"287";"199.216.41.251";"Mudshark";"DELETED";1;12
"289";"199.216.41.251";"Znixon";"DELETED";3;356
"290";"199.216.41.251";"NickF";"DELETED";1;1
"291";"199.216.41.251";"Olivier";"DELETED";1;1
"293";"199.216.41.251";"Brian0918";"DELETED";1;2
"294";"199.216.41.251";"Seabhcan";"DELETED";1;12
"295";"199.216.41.251";"Nickshanks";"DELETED";1;2
"297";"199.216.41.251";"85.57.162.113";"DELETED";1;4
"298";"199.216.41.251";"Saperaud~enwiki";"DELETED";1;2
"299";"199.216.41.251";"82.159.136.1";"DELETED";1;2
"300";"199.216.41.251";"CharlesDexterWard";"DELETED";1;5
"301";"199.216.41.251";"Giftlite";"DELETED";1;16
"302";"199.216.41.251";"83.25.81.130";"DELETED";1;5
"303";"199.216.41.251";"165.155.128.134";"DELETED";1;6
"304";"199.216.41.251";"71.141.2.90";"DELETED";1;1
"305";"199.216.41.251";"Norm";"DELETED";1;62
"306";"Sceptre";"199.216.41.251";"DELETED";1;2
"307";"Sceptre";"Tarquin";"RESTORED";1;78
"308";"Sceptre";"Zwobot";"RESTORED";1;3
"309";"Sceptre";"165.155.128.134";"RESTORED";1;6
"310";"Sceptre";"Seabhcan";"RESTORED";1;12
"311";"Sceptre";"Repayne";"RESTORED";2;3
"312";"Sceptre";"Nickshanks";"RESTORED";1;2
"313";"Sceptre";"203.199.202.97";"RESTORED";1;3
"314";"Sceptre";"Brian0918";"RESTORED";1;2
"315";"Sceptre";"Mudshark";"RESTORED";1;12
"316";"Sceptre";"Tbone";"RESTORED";1;1
"317";"Sceptre";"85.57.162.113";"RESTORED";1;4
"318";"Sceptre";"83.25.81.130";"RESTORED";1;5
"319";"Sceptre";"NeonGeniuses";"RESTORED";1;156
"320";"Sceptre";"NickF";"RESTORED";1;1
"321";"Sceptre";"Znixon";"RESTORED";2;356
"322";"Sceptre";"Csnewton";"RESTORED";1;12
"323";"Sceptre";"Wavelength";"RESTORED";1;1
"325";"Sceptre";"Olivier";"RESTORED";1;1
"326";"Sceptre";"Norm";"RESTORED";1;62
"327";"Sceptre";"71.141.2.90";"RESTORED";1;1
"328";"Sceptre";"CharlesDexterWard";"RESTORED";1;5
"329";"Sceptre";"82.159.136.1";"RESTORED";1;2
"330";"Sceptre";"Giftlite";"RESTORED";1;16
"331";"Sceptre";"81.241.222.188";"RESTORED";1;1
"333";"Sceptre";"Saperaud~enwiki";"RESTORED";1;2
