"";"Users";"Status"
"1";"Tarquin";"User"
"2353";"Page";"Page"
"2";"Mac";"User"
"3";"Olivier";"Admin"
"4";"Kku";"User"
"5";"Karada";"User"
"6";"Morwen";"Admin"
"7";"Nikai";"User"
"8";"Bryan Derksen";"User"
"9";"Ta bu shi da yu";"User"
"10";"Varitek";"User"
"11";"Nickshanks";"User"
"12";"205.213.111.50";"Anon"
"13";"81.241.222.188";"Anon"
"14";"Evercat";"Admin"
"15";"Mudshark";"User"
"16";"Norm";"User"
"17";"Lexie67";"User"
"18";"Theresa knott";"User"
"19";"68.254.162.48";"Anon"
"20";"82.159.136.1";"Anon"
"21";"SimonP";"Admin"
"22";"206.223.200.130";"Anon"
"23";"NeonGeniuses";"User"
"24";"69.108.87.160";"Anon"
"25";"203.36.44.15";"Anon"
"26";"203.36.44.16";"Anon"
"27";"Brian0918";"User"
"28";"170.177.41.11";"Anon"
"29";"Kbdank71";"Admin"
"30";"Csnewton";"User"
"31";"FlaBot";"User"
"32";"209.175.13.45";"Anon"
"33";"Xezbeth";"Admin"
"34";"66.30.40.193";"Anon"
"35";"Bighead";"User"
"36";"NickF";"User"
"37";"Salsb";"User"
"38";"Seabhcan";"User"
"39";"203.63.234.130";"Anon"
"40";"Func";"User"
"41";"Wavelength";"User"
"42";"211.26.27.70";"Anon"
"43";"Zwobot";"User"
"44";"Repayne";"User"
"45";"Giftlite";"User"
"46";"150.101.171.230";"Anon"
"47";"68.19.117.254";"Anon"
"48";"202.156.6.61";"Anon"
"49";"208.59.168.237";"Anon"
"50";"66.82.9.49";"Anon"
"51";"24.173.144.11";"Anon"
"52";"Wayward";"User"
"53";"Tbone";"User"
"54";"Saperaud~enwiki";"User"
"55";"208.62.221.62";"Anon"
"56";"85.57.162.113";"Anon"
"57";"208.59.175.65";"Anon"
"58";"69.81.72.236";"Anon"
"59";"194.52.74.9";"Anon"
"60";"Dan100";"User"
"61";"83.25.81.130";"Anon"
"62";"165.155.128.134";"Anon"
"63";"203.199.202.97";"Anon"
"64";"71.141.2.90";"Anon"
"65";"168.184.221.251";"Anon"
"66";"Bhadani";"User"
"67";"70.48.31.218";"Anon"
"68";"Znixon";"User"
"69";"142.59.93.16";"Anon"
"70";"Adashiel";"User"
"71";"CharlesDexterWard";"User"
"72";"65.92.55.124";"Anon"
"73";"Peter";"User"
"74";"70.27.68.31";"Anon"
"75";"Bluemoose";"User"
"76";"72.228.111.48";"Anon"
"77";"64.69.117.65";"Anon"
"78";"Viriditas";"User"
"79";"199.216.41.251";"Anon"
"80";"Sceptre";"User"
"81";"Bobdoe";"User"
"82";"128.138.94.56";"Anon"
"83";"71.31.57.125";"Anon"
"84";"Nakon";"User"
"85";"Fetofs";"User"
