"";"ActiveUser";"Target";"CharacterCount"
"1";"Norm";"Page";636
"2";"Norm";"Page";89
"3";"Lexie67";"Norm";11
"4";"68.254.162.48";"Page";636
"5";"82.159.136.1";"Lexie67";18
"6";"NeonGeniuses";"Page";1107
"7";"NeonGeniuses";"Page";112
"8";"NeonGeniuses";"NeonGeniuses";510
"9";"NeonGeniuses";"Page";988
"10";"NeonGeniuses";"NeonGeniuses";102
"11";"NeonGeniuses";"NeonGeniuses";26
"12";"Edcolins";"Page";1014
"13";"Edcolins";"Page";791
"14";"Csnewton";"NeonGeniuses";25
"15";"Csnewton";"Page";221
"16";"FlaBot";"Csnewton";128
"17";"150.174.193.170";"Edcolins";4
"18";"Seabhcan";"FlaBot";116
"19";"203.63.234.130";"Edcolins";9
"20";"211.26.27.70";"Seabhcan";12
"21";"Repayne";"203.63.234.130";14
"22";"Giftlite";"211.26.27.70";85
"23";"Tbone";"Giftlite";10
"24";"Saperaud~enwiki";"Tbone";21
"25";"165.155.128.134";"Page";1051
"26";"165.155.128.134";"Page";805
"27";"165.155.128.134";"Saperaud~enwiki";11
"28";"203.199.202.97";"150.174.193.170";10
"29";"203.199.202.97";"Repayne";14
"30";"142.59.93.16";"203.199.202.97";52
"31";"Znixon";"Page";859
"32";"Znixon";"Page";0
"33";"Znixon";"Znixon";606
"34";"Znixon";"Znixon";15
"35";"Znixon";"Znixon";1
"36";"65.92.55.124";"Znixon";136
"37";"64.69.117.65";"142.59.93.16";27
"38";"Rtdrury";"64.69.117.65";28
"39";"205.213.111.54";"Znixon";7
"40";"Mstroeck";"Rtdrury";67
"41";"Chadlupkes";"Page";794
"42";"Chadlupkes";"165.155.128.134";12
"43";"Chadlupkes";"203.199.202.97";19
"44";"86.217.250.118";"Chadlupkes";94
"45";"80.249.52.136";"Chadlupkes";13
"46";"80.249.52.136";"Mstroeck";16
"47";"80.249.52.136";"80.249.52.136";7
"48";"80.249.52.136";"80.249.52.136";7
"49";"12.166.222.37";"205.213.111.54";4
"50";"80.249.49.5";"Page";894
"51";"80.249.49.5";"Page";909
"52";"80.249.52.136";"Page";884
"53";"80.249.52.136";"12.166.222.37";28
"54";"80.249.52.136";"Page";641
"55";"80.249.52.136";"Page";859
"56";"80.249.52.136";"Page";859
"57";"216.171.246.30";"80.249.52.136";416
"58";"128.128.15.2";"86.217.250.118";172
"59";"86.29.245.71";"80.249.52.136";70
"60";"86.29.245.71";"86.29.245.71";96
"61";"159.247.237.207";"65.92.55.124";25
"62";"72.38.128.17";"86.29.245.71";41
"63";"72.38.128.17";"Page";908
"64";"220.239.192.20";"128.128.15.2";21
"65";"142.227.251.9";"159.247.237.207";1826
"66";"Damieno'connell";"Page";527
"67";"212.159.20.201";"Page";857
"68";"210.8.110.35";"Damieno'connell";23
"69";"210.8.110.35";"210.8.110.35";19
"70";"200.126.175.65";"Page";176
"71";"66.2.156.23";"72.38.128.17";45
"72";"Giftlite";"220.239.192.20";96
"73";"Dybryd";"66.2.156.23";66
"74";"203.206.242.180";"Dybryd";59
"75";"24.128.233.167";"Giftlite";102
"76";"86.212.44.211";"216.171.246.30";705
"77";"Cadillacregan";"Page";1153
"78";"Cadillacregan";"Page";1153
"79";"GeneNygaard";"210.8.110.35";3
"80";"GeneNygaard";"Page";469
"81";"GeneNygaard";"82.159.136.1";8
"82";"194.82.200.41";"GeneNygaard";3
"83";"208.96.75.96";"GeneNygaard";95
"84";"212.47.73.50";"194.82.200.41";197
"85";"84.9.179.97";"80.249.52.136";6
"86";"168.216.234.229";"203.206.242.180";14
"87";"168.216.234.81";"168.216.234.229";14
"88";"86.2.219.38";"168.216.234.81";18
"89";"62.6.250.109";"24.128.233.167";47
"90";"62.6.250.109";"62.6.250.109";145
"91";"142.227.157.1";"62.6.250.109";14
"92";"Almadenbuff";"86.2.219.38";260
"93";"Almadenbuff";"Page";48
"94";"Almadenbuff";"Page";146
"95";"Almadenbuff";"Page";48
"96";"Censol";"142.227.157.1";99
"97";"Tomtefarbror";"84.9.179.97";1639
"98";"Tomtefarbror";"Tomtefarbror";7
"99";"64.72.180.129";"Page";2748
"100";"142.163.229.142";"Tomtefarbror";40
"101";"142.163.229.142";"86.212.44.211";1628
"102";"Edge2001";"Censol";113
"103";"69.247.108.179";"Page";0
"104";"69.247.108.179";"Page";2733
"105";"69.247.108.179";"Edge2001";28
"106";"68.46.79.222";"69.247.108.179";2885
"107";"205.202.240.98";"142.163.229.142";48
"108";"205.202.240.98";"Almadenbuff";754
"109";"220.233.23.188";"Almadenbuff";14
"110";"82.46.103.188";"Page";11
"111";"71.7.23.85";"205.202.240.98";41
"112";"58.152.207.126";"Page";194
"113";"PhilPolychaete";"Csnewton";27
"114";"PhilPolychaete";"PhilPolychaete";3
"115";"204.107.82.83";"Page";194
"116";"70.248.106.197";"69.247.108.179";63
"117";"4.158.66.121";"204.107.82.83";13
"118";"Skapur";"Page";356
"119";"Skapur";"4.158.66.121";531
"120";"Skapur";"Skapur";22
"121";"Ewulp";"Page";763
"122";"Skapur";"Ewulp";205
"123";"207.225.249.48";"70.248.106.197";53
"124";"72.144.41.103";"Skapur";10
"125";"24.138.22.95";"207.225.249.48";42
"126";"24.69.70.201";"71.7.23.85";15
"127";"BlooxEinjeru";"24.69.70.201";96
"128";"74.121.64.175";"Page";2737
"129";"74.99.187.4";"74.121.64.175";1
"130";"209.6.162.130";"Skapur";37
"131";"209.6.162.130";"209.6.162.130";61
"132";"216.162.91.131";"Page";0
"133";"Kibblesnbits";"Page";1173
"134";"OilTreatmentInternational";"72.144.41.103";105
"135";"24.141.208.45";"PhilPolychaete";294
"136";"Skapur";"OilTreatmentInternational";198
"137";"Skapur";"Skapur";41
"138";"Skapur";"Skapur";148
"139";"SmackBot";"Skapur";68
"140";"68.40.239.99";"Page";2538
"141";"68.40.239.99";"Page";2546
"142";"JosephSolisinAustralia";"SmackBot";1
"143";"Encyclopædius";"Kibblesnbits";12
"144";"134.246.137.150";"24.138.22.95";120
"145";"124.183.204.92";"JosephSolisinAustralia";1
"146";"K12worker";"BlooxEinjeru";60
"147";"K12worker";"K12worker";115
"148";"K12worker";"K12worker";5
"149";"K12worker";"K12worker";243
"150";"K12worker";"Page";1185
"151";"K12worker";"Page";13
"152";"K12worker";"124.183.204.92";143
"153";"K12worker";"K12worker";76
"154";"Phi*n!x";"K12worker";17
"155";"87.201.177.103";"Page";4784
"156";"87.201.177.103";"Page";1937
"157";"87.201.177.103";"87.201.177.103";82
"158";"128.187.0.164";"87.201.177.103";16
"159";"SebastianHelm";"Phi*n!x";14
"160";"SebastianHelm";"SebastianHelm";507
"161";"203.152.105.123";"128.187.0.164";31
"162";"203.152.105.123";"203.152.105.123";24
"163";"BloodRedSandman";"K12worker";3
"164";"69.132.154.87";"Page";0
