"";"Users";"Status"
"1";"Stavenn";"User"
"110";"Page";"Page"
"2";"217.12.16.48";"Anon"
"3";"217.12.16.49";"Anon"
"4";"Smallweed";"User"
"5";"Birdingcuba64~enwiki";"User"
"6";"CommonsDelinker";"Bot"
"7";"84.122.202.216";"Anon"
"8";"Eubot";"User"
"9";"Thijs!bot";"User"
"10";"Rufous-crowned Sparrow";"User"
"11";"Herbythyme";"User"
"12";"Hesperian";"Admin"
"13";"TDogg310";"User"
"14";"Luckas-bot";"User"
"15";"Innotata";"User"
"16";"Jimfbleak";"Admin"
"17";"Snowmanradio";"User"
"18";"Wetman";"User"
"19";"Rabo3";"User"
"20";"Citation bot";"User"
"21";"J. Spencer";"User"
"22";"Encyclopædius";"User"
"23";"MuZemike";"User"
"24";"Sasata";"User"
"25";"Ucucha";"Admin"
"26";"Billare";"User"
"27";"Gene Nygaard";"User"
"28";"Bruinfan12";"User"
"29";"Iridescent";"Admin"
"30";"Citation bot 1";"User"
"31";"Tbhotch";"User"
"32";"Amirobot";"User"
"33";"Ugelefaf";"User"
"34";"Stemonitis";"Admin"
"35";"Totodu74";"User"
"36";"Gemini1980";"User"
"37";"CarsracBot";"User"
"38";"Mr Stephen";"User"
"39";"EmausBot";"Bot"
"40";"EauOo";"User"
"41";"AnomieBOT";"Bot"
"42";"Addbot";"Bot"
"43";"Materialscientist";"Admin"
"44";"Timrollpickering";"Admin"
"45";"PopularOutcast";"User"
"46";"Mgiganteus1";"User"
"47";"200.55.183.49";"Anon"
"48";"GoingBatty";"User"
"49";"Monkbot";"Bot"
"50";"Nikkimaria";"User"
"51";"Cydebot";"Bot"
"52";"William Avery";"User"
"53";"Dexbot";"Bot"
"54";"DrKay";"Admin"
"55";"Dave.Dunford";"User"
"56";"MeegsC";"User"
"57";"Jprg1966";"User"
"58";"Pvmoutside";"User"
"59";"Thor Dockweiler";"User"
"60";"GreenC bot";"User"
"61";"WolfmanSF";"User"
"62";"2001:DA8:3004:6092:299C:9E7F:24F:7F54";"Anon"
"63";"Andrew Davidson";"User"
"64";"Aa77zz";"User"
"65";"89.242.66.131";"Anon"
"66";"168.184.248.130";"Anon"
"67";"Crystallizedcarbon";"User"
"68";"2A00:23C4:5103:5B00:6DCF:A651:9B4E:EBCA";"Anon"
"69";"DBrant (WMF)";"User"
"70";"207.165.139.1";"Anon"
"71";"Kelsey406";"User"
"72";"TJH2018";"User"
"73";"167.160.220.195";"Anon"
"74";"ClueBot NG";"User"
"75";"Elliott.neal";"User"
"76";"216.4.56.164";"Anon"
"77";"DVdm";"User"
"78";"66.188.17.202";"Anon"
"79";"Gilliam";"Admin"
"80";"69.43.65.116";"Anon"
"81";"Syrup sauce chicken";"User"
"82";"107.77.229.97";"Anon"
"83";"Linguist111";"User"
"84";"Jakedinsmore";"User"
"85";"OcarinaOfTime";"User"
"86";"37.201.192.120";"Anon"
"87";"CyanoTex";"User"
"88";"Melanielopez0214";"User"
"89";"Caballero1967";"User"
"90";"MisfitToys";"Admin"
"91";"Micromesistius";"User"
"92";"Dane";"User"
"93";"MusikBot";"Bot"
"94";"Tom.Reding";"User"
"95";"Od Mishehu AWB";"User"
"96";"Couiros22";"User"
"97";"InternetArchiveBot";"Bot"
"98";"KolbertBot";"Bot"
"99";"Grassynoel";"User"
"100";"Plantdrew";"User"
"101";"Abote2";"User"
"102";"DferDaisy";"User"
"103";"Trappist the monk";"User"
"104";"Taketa";"User"
"105";"Pbsouthwood";"Admin"
"106";"82.15.157.173";"Anon"
"107";"SchreiberBike";"User"
"108";"Sadads";"Admin"
"109";"Ddum5347";"User"
"111";"J.Spencer";"User"
"210";"Abductive";"User"
"310";"Citationbot";"Bot"
