"";"ActiveUser";"Target";"CharacterCount"
"1";"Stavenn";"Page";192
"2";"Stavenn";"Page";246
"3";"217.12.16.48";"Stavenn";46
"4";"Birdingcuba64~enwiki";"Stavenn";75
"5";"Thijs!bot";"217.12.16.48";8
"6";"Birdingcuba64~enwiki";"Thijs!bot";83
"7";"TDogg310";"Birdingcuba64~enwiki";105
"8";"Luckas-bot";"TDogg310";18
"9";"Luckas-bot";"Luckas-bot";14
"10";"Jimfbleak";"Birdingcuba64~enwiki";72
"11";"Jimfbleak";"Page";595
"12";"Jimfbleak";"Page";704
"13";"Jimfbleak";"Jimfbleak";32
"14";"Jimfbleak";"Jimfbleak";337
"15";"Jimfbleak";"Jimfbleak";1
"16";"Jimfbleak";"Page";553
"17";"Jimfbleak";"Jimfbleak";451
"18";"Jimfbleak";"Page";257
"19";"Jimfbleak";"Jimfbleak";6
"20";"Jimfbleak";"Jimfbleak";21
"21";"Jimfbleak";"Jimfbleak";4
"22";"Jimfbleak";"Jimfbleak";256
"23";"Jimfbleak";"Jimfbleak";13
"24";"Jimfbleak";"Jimfbleak";470
"25";"Jimfbleak";"Jimfbleak";19
"26";"Jimfbleak";"Jimfbleak";824
"27";"Jimfbleak";"Jimfbleak";88
"28";"Jimfbleak";"Jimfbleak";12
"29";"Jimfbleak";"Jimfbleak";2
"30";"Jimfbleak";"Jimfbleak";14
"31";"Jimfbleak";"Jimfbleak";594
"32";"Jimfbleak";"Page";558
"33";"Jimfbleak";"Jimfbleak";66
"34";"Jimfbleak";"Jimfbleak";29
"35";"Jimfbleak";"Page";1962
"36";"Jimfbleak";"Page";1507
"37";"Jimfbleak";"Page";850
"38";"Jimfbleak";"Page";932
"39";"Jimfbleak";"Page";586
"40";"Jimfbleak";"Jimfbleak";472
"41";"Jimfbleak";"Jimfbleak";420
"42";"Jimfbleak";"Jimfbleak";63
"43";"Jimfbleak";"Page";404
"44";"Jimfbleak";"Jimfbleak";15
"45";"Jimfbleak";"Jimfbleak";50
"46";"Jimfbleak";"Jimfbleak";302
"47";"Jimfbleak";"Jimfbleak";6
"48";"Jimfbleak";"Jimfbleak";150
"49";"Jimfbleak";"Jimfbleak";557
"50";"Jimfbleak";"Jimfbleak";5
"51";"Jimfbleak";"Jimfbleak";8
"52";"Jimfbleak";"Jimfbleak";730
"53";"Jimfbleak";"Jimfbleak";49
"54";"Jimfbleak";"Jimfbleak";45
"55";"Jimfbleak";"Jimfbleak";164
"56";"Jimfbleak";"Jimfbleak";4
"57";"Jimfbleak";"Page";2700
"58";"Ucucha";"Jimfbleak";1
"59";"Jimfbleak";"Jimfbleak";781
"60";"Jimfbleak";"Jimfbleak";258
"61";"Jimfbleak";"Jimfbleak";1
"62";"Jimfbleak";"Jimfbleak";18
"63";"Jimfbleak";"Jimfbleak";625
"64";"Jimfbleak";"Jimfbleak";2
"65";"Jimfbleak";"Jimfbleak";749
"66";"Jimfbleak";"Jimfbleak";116
"67";"Jimfbleak";"Jimfbleak";11
"68";"Jimfbleak";"Ucucha";63
"69";"Jimfbleak";"Jimfbleak";37
"70";"Jimfbleak";"Jimfbleak";43
"71";"Jimfbleak";"Page";966
"72";"Jimfbleak";"Jimfbleak";10
"73";"Jimfbleak";"Page";92
"74";"Jimfbleak";"Jimfbleak";1
"75";"Jimfbleak";"Jimfbleak";381
"76";"Jimfbleak";"Jimfbleak";4
"77";"Jimfbleak";"Jimfbleak";367
"78";"Jimfbleak";"Jimfbleak";1
"79";"Jimfbleak";"Jimfbleak";1
"80";"Jimfbleak";"Jimfbleak";1
"81";"Jimfbleak";"Jimfbleak";48
"82";"Jimfbleak";"Jimfbleak";183
"83";"Jimfbleak";"Jimfbleak";1
"84";"Jimfbleak";"Jimfbleak";2
"85";"Jimfbleak";"Page";1679
"86";"Jimfbleak";"Jimfbleak";103
"87";"Jimfbleak";"Jimfbleak";2
"88";"Jimfbleak";"Jimfbleak";27
"89";"Jimfbleak";"Jimfbleak";30
"90";"Jimfbleak";"Jimfbleak";4
"91";"Jimfbleak";"Jimfbleak";233
"92";"Jimfbleak";"Jimfbleak";114
"93";"Jimfbleak";"Jimfbleak";55
"94";"Jimfbleak";"Jimfbleak";12
"95";"Jimfbleak";"Jimfbleak";124
"96";"Jimfbleak";"Jimfbleak";127
"97";"Jimfbleak";"Jimfbleak";89
"98";"Jimfbleak";"Jimfbleak";3
"99";"Jimfbleak";"Jimfbleak";6
"100";"Jimfbleak";"Jimfbleak";15
"101";"Jimfbleak";"Jimfbleak";727
"102";"Jimfbleak";"Jimfbleak";1307
"103";"Jimfbleak";"Page";1687
"104";"Jimfbleak";"Jimfbleak";215
"105";"Jimfbleak";"Jimfbleak";43
"106";"Jimfbleak";"Jimfbleak";10
"107";"Innotata";"Jimfbleak";31
"108";"J.Spencer";"Jimfbleak";8
"109";"Sasata";"Jimfbleak";1
"110";"Jimfbleak";"Innotata";42
"111";"Jimfbleak";"J.Spencer";42
"112";"Jimfbleak";"Jimfbleak";48
"113";"Jimfbleak";"Sasata";4
"114";"Jimfbleak";"Jimfbleak";1
"115";"Jimfbleak";"Jimfbleak";17
"116";"Jimfbleak";"Jimfbleak";1
"117";"Jimfbleak";"Jimfbleak";2
"118";"Jimfbleak";"Jimfbleak";1
"119";"Jimfbleak";"Jimfbleak";4
"120";"Jimfbleak";"Jimfbleak";3
"121";"Jimfbleak";"Jimfbleak";2
"122";"Ucucha";"Jimfbleak";6
"123";"Jimfbleak";"Ucucha";23
"124";"Jimfbleak";"Jimfbleak";1
"125";"Ucucha";"Jimfbleak";200
"126";"Bruinfan12";"Jimfbleak";8
"127";"Luckas-bot";"Luckas-bot";14
"128";"Luckas-bot";"Luckas-bot";21
"129";"Luckas-bot";"Luckas-bot";22
"130";"Amirobot";"Luckas-bot";16
"131";"Stemonitis";"Amirobot";25
"132";"Innotata";"Stemonitis";14
"133";"Innotata";"Jimfbleak";28
"134";"Gemini1980";"Innotata";14
"135";"Luckas-bot";"Gemini1980";23
"136";"EmausBot";"Luckas-bot";25
"137";"Snowmanradio";"Innotata";20
"138";"Snowmanradio";"Jimfbleak";194
"139";"EmausBot";"EmausBot";27
"140";"EmausBot";"EmausBot";28
"141";"Jimfbleak";"Snowmanradio";108
"142";"168.184.248.130";"Jimfbleak";72
"143";"167.160.220.195";"Bruinfan12";2
"144";"MisfitToys";"Jimfbleak";6
"145";"MisfitToys";"Page";16
"146";"MisfitToys";"Jimfbleak";304
"147";"MisfitToys";"Page";2852
"148";"MisfitToys";"Jimfbleak";1252
"149";"MisfitToys";"Jimfbleak";60
"150";"MisfitToys";"Jimfbleak";2974
"151";"MisfitToys";"Jimfbleak";1465
"152";"MisfitToys";"Jimfbleak";450
"153";"Abductive";"MisfitToys";4
"154";"Micromesistius";"MisfitToys";34
"155";"66.188.17.202";"MisfitToys";10
"156";"Tom.Reding";"66.188.17.202";5
"157";"InternetArchiveBot";"MisfitToys";210
"158";"InternetArchiveBot";"Tom.Reding";142
"159";"KolbertBot";"InternetArchiveBot";1
"160";"Grassynoel";"KolbertBot";4
"161";"Grassynoel";"Grassynoel";8
"162";"Abote2";"MisfitToys";5
"163";"DferDaisy";"Grassynoel";26
"164";"Citationbot";"Abote2";30
"165";"Citationbot";"MisfitToys";13
"166";"SchreiberBike";"Citationbot";2
"167";"Sadads";"InternetArchiveBot";18
